"descricao","fipeid_marca","","fipeid_modelo","tipoveiculo"
AUDI,"6",Q5 BLACK 2.0 TFSI QUATTRO S TRONIC,"8583",0
AUDI,"6",Q5 PRESTIGE 2.0 TFSI QUATTRO S TRONIC,"8584",0
AUDI,"6",Q5 PRESTIGE PLUS 2.0 TFSI QUAT. S TRONIC,"8585",0
AUDI,"6",Q5 AMBIENTE 2.0 TFSI QUATTRO S TRONIC,"8036",0
AUDI,"6",Q5 AMBITION 2.0 TFSI QUATTRO S TRONIC,"8037",0
AUDI,"6",Q5 ATTRACTION 2.0 TFSI QUATTRO S TRONIC,"8038",0
AUDI,"6",Q5 S-LINE 2.0 TFSI QUATTRO S-TRONIC,"8773",0
AUDI,"6",Q5 2.0 16V TFSI 225CV QUATTRO TIPTRONIC,"6573",0
AUDI,"6",Q5 2.0 16V TFSI QUATTRO S TRONIC,"4936",0
AUDI,"6",Q5 3.0 V6 TFSI 272CV QUATTRO TIPTRONIC,"6486",0
AUDI,"6",Q5 3.2 FSI V6 QUATTRO S TRONIC,"4959",0
AUDI,"6",Q7 3.0 V6 TDI QUAT.TIP. 5P DIE./PERFOR.,"7917",0
AUDI,"6",Q7 3.0 V6 TFSI  QUAT.TIP.5P/ PERFORMANCE,"5445",0
AUDI,"6",Q7 3.6 V6 284CV QUATTRO TIPTRONIC,"4694",0
AUDI,"6",Q7 4.2 V8 40V 350CV QUATTRO TIPTRONIC,"4184",0
AUDI,"6",Q7 PERF.BLACK 3.0 TDI QUAT.TIP.5P DIES.,"8658",0
AUDI,"6",Q7 PREF. BLACK 3.0 V6 TFSI QUAT.TIP. 5P,"8659",0
AUDI,"6",Q8 PERF.BL. 3.0 TFSI COUPE QUAT. S-TRON.,"8774",0
AUDI,"6",Q8 PERFORM. 3.0 TFSI COUPE QUAT. S-TRON.,"8775",0
AUDI,"6",R8 4.2 V8 426CV QUATTRO R-TRONIC,"5235",0
AUDI,"6",R8 5.2 V10 QUATTRO R-TRONIC/S-TRONIC,"5236",0
AUDI,"6",R8 GT 5.2 V10 560CV QUATTRO R-TRONIC,"5974",0
AUDI,"6",R8 SPYDER 5.2 QUATTRO R-TRONIC/S-TRONIC,"5550",0
AUDI,"6",RS Q3 2.5 TFSI QUATTRO S-TRONIC 5P,"6865",0
AUDI,"6",RS3 SPORTBACK 2.5 TFSI QUATTRO S-TRONIC,"5922",0
AUDI,"6",RS3 SEDAN 2.5 TFSI QUATTRO S-TRONIC,"8175",0
AUDI,"6",RS4 2.9 AVANT V6 TFSI QUATTRO TIPTRONIC,"8628",0
AUDI,"6",RS4 2.7 AVANT V6 30V BI-TB QUATTRO 380CV,"130",0
AUDI,"6",RS4 4.2 AVANT 32V FSI QUATTRO S-TRONIC,"6487",0
AUDI,"6",RS5 4.2 FSI V8 450CV QUATTRO S-TRON. 2P,"5410",0
AUDI,"6",RS5 COUPÊ 2.9 V6 TFSI QUATTRO TIPTRONIC,"8629",0
AUDI,"6",RS6 4.0 AVANT TFSI BI-TB QUATTRO TIP. 5P,"6690",0
AUDI,"6",RS6 4.2 450CV BI-TB QUATTRO TIPTRONIC 4P,"131",0
AUDI,"6",RS6 4.2 AVANT  BI-TB QUATTRO TIPTRON. 5P,"132",0
AUDI,"6",RS6 5.0 AVANT.FSI V10 BI-TB QUATTRO TIP.,"5335",0
AUDI,"6",RS6 5.0 FSI V10 BI-TB QUATTRO TIP.,"5336",0
AUDI,"6",RS7 SPORTBACK 4.0 TFSI QUATTRO TIPTRONIC,"6883",0
AUDI,"6",S Q5 3.0 V6 TFSI 354CV QUATTRO TIPTRONIC,"6769",0
AUDI,"6",S3 1.8 225CV TURBO QUATTRO,"133",0
AUDI,"6",S3 SEDAN 2.0 TFSI QUATTRO 286CV S-TRONIC,"6951",0
AUDI,"6",S3 SPORTBACK 2.0 TFSI QUATTRO S TRONIC,"5127",0
AUDI,"6",S4 2.7 AVANT TURBO QUATTRO,"134",0
AUDI,"6",S4 2.7 TURBO QUATTRO MEC.,"135",0
AUDI,"6",S4 3.0 AVANT TFSI V6 24V QUATTRO STRONIC,"6085",0
AUDI,"6",S4 3.0 TFSI V6 24V QUATTRO STRONIC,"6086",0
AUDI,"6",S4 4.2 AVANT V8 40V 344CV QUATTRO TIPT.,"136",0
